Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Malawi,Africa,61845,323.289,27,0.141,2,2302,12.033,0,0,0
Côte d’Ivoire,Africa,61511,233.188,85,0.322,0,702,2.661,3,0.011,0
Democratic Republic of the Congo,Africa,57803,64.54,165,0.184,0,1099,1.227,0,0,0
Réunion,Africa,55865,6239.724,740,82.653,0,376,41.997,0,0,0
Lao People's Democratic Republic,Western Pacific,55018,756.203,7176,98.632,826,104,1.429,18,0.247,5
Guadeloupe,Americas,54854,13709.25,182,45.486,0,822,205.436,0,0,0
Fiji,Western Pacific,52429,5848.546,131,14.613,20,694,77.417,19,2.119,0
Suriname,Americas,50078,8536.527,476,81.141,32,1139,194.159,22,3.75,3
Eswatini,Africa,46472,4005.641,12,1.034,0,1245,107.312,1,0.086,0
Syrian Arab Republic,Eastern Mediterranean,46421,265.253,1137,6.497,146,2672,15.268,42,0.24,6
French Polynesia,Western Pacific,45601,16233.429,28,9.968,0,636,226.409,0,0,0
French Guiana,Americas,45366,15188.729,223,74.661,0,322,107.807,6,2.009,0
Martinique,Americas,43962,11714.921,173,46.101,0,700,186.535,2,0.533,0
Madagascar,Africa,43672,157.712,40,0.144,0,964,3.481,0,0,0
Sudan,Eastern Mediterranean,41309,94.207,290,0.661,0,3069,6.999,2,0.005,0
Cabo Verde,Africa,38299,6888.47,36,6.475,3,349,62.771,0,0,0
Malta,Europe,38257,7434.838,324,62.966,55,462,89.785,0,0,0
Mauritania,Africa,38188,821.308,433,9.313,55,807,17.356,5,0.108,0
Guyana,Americas,36817,4680.809,637,80.986,76,959,121.925,17,2.161,2
Gabon,Africa,36787,1652.803,457,20.533,95,268,12.041,9,0.404,2
Papua New Guinea,Western Pacific,32985,368.67,812,9.076,31,436,4.873,23,0.257,0
Guinea,Africa,30715,233.88,6,0.046,0,387,2.947,0,0,0
Belize,Americas,28899,7267.848,1005,252.749,0,534,134.296,25,6.287,0
United Republic of Tanzania,Africa,26208,43.874,12,0.02,0,725,1.214,0,0,0
Togo,Africa,26167,316.075,45,0.544,9,243,2.935,0,0,0
Benin,Africa,24827,204.789,23,0.19,0,161,1.328,0,0,0
Haiti,Americas,24635,216.049,276,2.421,150,708,6.209,3,0.026,0
Somalia,Eastern Mediterranean,22837,143.69,144,0.906,0,1313,8.261,19,0.12,0
Seychelles,Africa,22704,23085.605,247,251.152,0,114,115.916,0,0,0
Bahamas,Americas,22601,5747.322,69,17.546,29,665,169.106,4,1.017,0
Barbados,Americas,22093,7687.864,2024,704.306,0,193,67.16,13,4.524,0
Lesotho,Africa,21697,1012.814,12,0.56,6,661,30.855,2,0.093,0
Mayotte,Africa,20790,7620.549,81,29.69,0,185,67.812,0,0,0
Burundi,Africa,20282,170.569,112,0.942,6,14,0.118,0,0,0
Timor-Leste,South-East Asia,19812,1502.679,8,0.607,2,122,9.253,0,0,0
Mauritius,Africa,18979,1492.332,0,0,0,240,18.871,0,0,0
Congo,Africa,18539,335.968,386,6.995,149,331,5.998,22,0.399,12
Tajikistan,Europe,17489,183.368,3,0.031,0,125,1.311,0,0,0
Curaçao,Americas,17225,10497.096,69,42.049,38,175,106.647,0,0,0
Mali,Africa,16680,82.367,273,1.348,13,588,2.904,12,0.059,3
Aruba,Americas,16083,15063.784,77,72.12,26,172,161.1,0,0,0
Iceland,Europe,15968,4385.199,1217,334.218,227,34,9.337,0,0,0
Andorra,Europe,15907,20587.588,202,261.438,88,130,168.252,0,0,0
Burkina Faso,Africa,15281,73.103,178,0.852,0,234,1.119,13,0.062,0
Guam,Western Pacific,14979,8875.13,68,40.29,0,258,152.866,9,5.333,0
Brunei Darussalam,Western Pacific,14269,3261.642,405,92.576,54,57,13.029,2,0.457,0
Djibouti,Eastern Mediterranean,13496,1365.992,3,0.304,1,186,18.826,0,0,0
Equatorial Guinea,Africa,13459,959.312,0,0,0,168,11.974,0,0,0
Nicaragua,Americas,13150,198.504,103,1.555,0,210,3.17,1,0.015,0
Saint Lucia,Americas,12837,6990.802,100,54.458,2,270,147.037,10,5.446,1
South Sudan,Africa,12590,112.474,73,0.652,0,133,1.188,0,0,0
Jersey,Europe,12274,11386.322,710,658.652,83,80,74.214,0,0,0
Central African Republic,Africa,11666,241.544,87,1.801,0,101,2.091,1,0.021,0
New Caledonia,Western Pacific,11620,4070.081,270,94.572,47,272,95.272,3,1.051,0
Isle of Man,Europe,10296,12108.383,304,357.512,39,64,75.266,4,4.704,0
Gambia,Africa,9986,413.214,7,0.29,6,341,14.11,0,0,0
Yemen,Eastern Mediterranean,9936,33.313,53,0.178,12,1926,6.457,17,0.057,1
New Zealand,Western Pacific,8726,180.954,1314,27.249,222,35,0.726,3,0.062,2
United States Virgin Islands,Americas,7370,7057.697,95,90.974,13,84,80.441,1,0.958,0
Eritrea,Africa,7063,199.159,104,2.933,8,51,1.438,4,0.113,0
Niger,Africa,6703,27.691,172,0.711,11,232,0.958,9,0.037,0
Gibraltar,Europe,6561,19474.044,393,1166.484,52,98,290.879,0,0,0
Guinea-Bissau,Africa,6402,325.305,252,12.805,0,144,7.317,1,0.051,0
Sierra Leone,Africa,6400,80.231,2,0.025,0,121,1.517,0,0,0
Grenada,Americas,5863,5210.49,2,1.777,0,200,177.741,2,1.777,0
Liberia,Africa,5818,115.033,1,0.02,0,287,5.675,0,0,0
Bermuda,Americas,5708,9166.091,31,49.781,0,106,170.218,0,0,0
San Marino,Europe,5683,16745.241,73,215.098,29,92,271.083,0,0,0
Saint Vincent and the Grenadines,Americas,5326,4800.793,203,182.982,56,72,64.9,3,2.704,1
Chad,Africa,5107,31.091,0,0,0,175,1.065,0,0,0
Dominica,Americas,5002,6948.091,41,56.952,41,35,48.617,3,4.167,3
Sint Maarten,Americas,4532,10568.537,22,51.304,6,75,174.899,0,0,0
Comoros,Africa,4400,505.979,79,9.085,4,149,17.134,2,0.23,0
Cayman Islands,Americas,4203,6395.313,1527,2323.494,776,2,3.043,0,0,0
Antigua and Barbuda,Americas,4118,4205.087,27,27.571,0,107,109.263,2,2.042,0
Saint Martin,Americas,3993,10328.772,18,46.561,0,38,98.295,0,0,0
Liechtenstein,Europe,3945,10181.433,120,309.701,0,58,149.689,0,0,0
Sao Tome and Principe,Africa,3731,1702.417,2,0.913,0,56,25.552,0,0,0
Monaco,Europe,3486,8882.887,47,119.764,8,36,91.734,0,0,0
Turks and Caicos Islands,Americas,3045,7864.559,28,72.318,10,23,59.404,0,0,0
Faroe Islands,Europe,2966,6069.784,299,611.89,27,10,20.465,4,8.186,2
Guernsey,Europe,2771,4298.256,351,544.456,53,23,35.677,0,0,0
Saint Kitts and Nevis,Americas,2749,5168.07,32,60.159,0,27,50.76,2,3.76,0
British Virgin Islands,Americas,2745,9078.282,0,0,0,38,125.674,0,0,0
Bhutan,South-East Asia,2625,340.199,2,0.259,0,3,0.389,0,0,0
Bonaire,Americas,2588,12373.894,106,506.813,44,21,100.406,1,4.781,0
Saint Barthélemy,Americas,1661,16803.237,0,0,0,4,40.465,0,0,0
Anguilla,Americas,1137,7578.989,98,653.246,0,4,26.663,3,19.997,0
Greenland,Europe,1039,1830.128,157,276.545,49,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,393,682.801,33,57.334,4,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,79,2268.16,1,28.711,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,33,569.456,1,17.256,0,0,0,0,0,0
Sint Eustatius,Americas,30,955.718,1,31.857,1,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,5,9.058,1,1.812,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
